,features
474,"{
  ""features"": [
    {
      ""categoria"": ""Scrub Set"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""profissional"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Cherokee""
    }
  ]
}"
475,"{
  ""features"": [
    {
      ""categoria"": ""Tapete"",
      ""material"": ""Algodão"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Vermelho, Preto e Branco, Cinza"",
      ""marca"": ""IOHOUZE""
    }
  ]
}"
476,"{
  ""features"": [
    {
      ""categoria"": ""Action Figure"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Multi"",
      ""marca"": ""TAMASHII NATIONS""
    }
  ]
}"
477,"{
  ""features"": [
    {
      ""categoria"": ""Flower Wall Art - Botanical Prints"",
      ""material"": ""acid-free, archival quality paper with canvas texture"",
      ""handmade"": ""Yes"",
      ""cor"": ""Vintage Floral Decor"",
      ""marca"": ""Not found""
    }
  ]
}"
478,"{
  ""features"": [
    {
      ""categoria"": ""Suplemento Alimentar"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Fiber Choice""
    }
  ]
}"
479,"{
  ""features"": [
    {
      ""categoria"": ""Blusa"",
      ""material"": ""Fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Multicolor"",
      ""marca"": ""Romwe""
    }
  ]
}"
480,"{
  ""features"": [
    {
      ""categoria"": ""Pillow Cover"",
      ""material"": ""Sequins and soft taffeta satin"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""10 different colors available"",
      ""marca"": ""Kevin Textile""
    }
  ]
}"
481,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
482,"{
  ""features"": [
    {
      ""categoria"": ""Eyeglasses Case"",
      ""material"": ""Hard Shell"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""LERTREE""
    }
  ]
}"
483,"{
  ""features"": [
    {
      ""categoria"": ""Hanging Planters"",
      ""material"": ""Natural Resin"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Speckled White"",
      ""marca"": ""OurWarm""
    }
  ]
}"
484,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""algodão"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""azul"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
485,"{
  ""features"": [
    {
      ""categoria"": ""Reusable Face Mask"",
      ""material"": ""100% Cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Custom Handmade Face Mask""
    }
  ]
}"
486,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
487,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Nature Made""
    }
  ]
}"
488,"{
  ""features"": [
    {
      ""categoria"": ""Casa e decoração"",
      ""material"": ""Velvet Plush"",
      ""Público-alvo"": ""Kid, Baby, Adults or Pet"",
      ""cor"": ""Blue-Elephant"",
      ""marca"": ""AVAFORT""
    }
  ]
}"
489,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""branco"",
      ""marca"": ""Clubman Pinaud""
    }
  ]
}"
490,"{
  ""features"": [
    {
      ""categoria"": ""Necklace Pendant"",
      ""material"": ""Stainless Steel"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Green"",
      ""marca"": ""LOYEH""
    }
  ]
}"
491,"{
  ""features"": [
    {
      ""categoria"": ""Tire Pressure Gauge Kit"",
      ""material"": ""Steel, Copper, Plastic, Rubber"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Grit Performance""
    }
  ]
}"
492,"{
  ""features"": [
    {
      ""categoria"": ""Christmas Ornament Set"",
      ""material"": ""Resin Stone"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Festive Red"",
      ""marca"": ""Dickson's""
    }
  ]
}"
493,"{
  ""features"": [
    {
      ""categoria"": ""Weight Loss Supplement"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""T6""
    }
  ]
}"
494,"{
  ""features"": [
    {
      ""categoria"": ""Hand Cream"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""O'Keeffe's""
    }
  ]
}"
495,"{
  ""features"": [
    {
      ""categoria"": ""Candy Bag"",
      ""material"": ""Non-woven Fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
496,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
497,"{
  ""features"": [
    {
      ""categoria"": ""Mattress Topper"",
      ""material"": ""Memory Foam, Copper, Gel, Bamboo Charcoal"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Maxzzz""
    }
  ]
}"
498,"{
  ""features"": [
    {
      ""categoria"": ""Baby Girl Clothes Set"",
      ""material"": ""Cotton blend fabric"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Camouflage"",
      ""marca"": ""Welcome to AMAWMW""
    }
  ]
}"
499,"{
  ""features"": [
    {
      ""categoria"": ""Golf Shoe"",
      ""material"": ""TPU, Mesh"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""PUMA""
    }
  ]
}"
500,"{
  ""features"": [
    {
      ""categoria"": ""Blu-ray"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
501,"{
  ""features"": [
    {
      ""categoria"": ""Dog Food"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""NutriSource""
    }
  ]
}"
502,"{
  ""features"": [
    {
      ""categoria"": ""Saree"",
      ""material"": ""Cotton Silk Blend"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Chandrakala""
    }
  ]
}"
503,"{
  ""features"": [
    {
      ""categoria"": ""Slow Cooker"",
      ""material"": ""Stoneware Crock"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""BLACK+DECKER""
    }
  ]
}"
504,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Plastic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Red"",
      ""marca"": ""Amazon Basics""
    }
  ]
}"
505,"{
  ""features"": [
    {
      ""categoria"": ""Gas Chainsaw Parts"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Poulan""
    }
  ]
}"
506,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""algodão"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""azul"",
      ""marca"": ""Nike""
    }
  ]
}"
507,"{
  ""features"": [
    {
      ""categoria"": ""Móveis"",
      ""material"": ""Metal"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Antique Bronze"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
508,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Grey"",
      ""marca"": ""FCS""
    }
  ]
}"
509,"{
  ""features"": [
    {
      ""categoria"": ""Diapers"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Not found"",
      ""marca"": ""Pampers""
    }
  ]
}"
510,"{
  ""features"": [
    {
      ""categoria"": ""Controle Remoto"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Xtrasaver""
    }
  ]
}"
511,"{
  ""features"": [
    {
      ""categoria"": ""toolbox"",
      ""material"": ""16 gauge steel, polymer"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""grey"",
      ""marca"": ""Powerbuilt""
    }
  ]
}"
512,"{
  ""features"": [
    {
      ""categoria"": ""Sleep Aid Solution"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""ZYPPAH""
    }
  ]
}"
513,"{
  ""features"": [
    {
      ""categoria"": ""String Bikini Panties"",
      ""material"": ""Silky Stretch & Satin Trim"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Vanity Fair""
    }
  ]
}"
514,"{
  ""features"": [
    {
      ""categoria"": ""Saia"",
      ""material"": ""Tulle"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Várias cores disponíveis"",
      ""marca"": ""Joeoy""
    }
  ]
}"
515,"{
  ""features"": [
    {
      ""categoria"": ""Jewelry"",
      ""material"": ""925 Sterling Silver and real moonstone gems"",
      ""Público-alvo"": ""Girls and Women"",
      ""cor"": ""Moonstone (color-changing)"",
      ""marca"": ""Koral Jewelry""
    }
  ]
}"
516,"{
  ""features"": [
    {
      ""categoria"": ""Capa de celular"",
      ""material"": ""TPU"",
      ""Público-alvo"": ""Mulheres"",
      ""cor"": ""Amarela"",
      ""marca"": ""JOYLAND""
    }
  ]
}"
517,"{
  ""features"": [
    {
      ""categoria"": ""roupa íntima"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""preto"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
518,"{
  ""features"": [
    {
      ""categoria"": ""Livro infantil"",
      ""material"": ""Papel"",
      ""Público-alvo"": ""Crianças"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""My Dragon Books""
    }
  ]
}"
519,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""algodão"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""azul"",
      ""marca"": ""Nike""
    }
  ]
}"
520,"{
  ""features"": [
    {
      ""categoria"": ""Acessórios para veículos"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""QMPARTS""
    }
  ]
}"
521,"{
  ""features"": [
    {
      ""categoria"": ""Shower Curtain"",
      ""material"": ""Waterproof Fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Rdsfhsp MAR""
    }
  ]
}"
522,"{
  ""features"": [
    {
      ""categoria"": ""Desktop Computer"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""DELL""
    }
  ]
}"
523,"{
  ""features"": [
    {
      ""categoria"": ""Engine Restorer & Lubricant"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Restore""
    }
  ]
}"
524,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""IKINGSKY""
    }
  ]
}"
525,"{
  ""features"": [
    {
      ""categoria"": ""Crinkle Cut Paper Shred Filler"",
      ""material"": ""Non-toxic dyes"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Light Pink"",
      ""marca"": ""MagicWater Supply""
    }
  ]
}"
526,"{
  ""features"": [
    {
      ""categoria"": ""Hand Care Set"",
      ""material"": ""Ceramic, Plastic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Monochrome"",
      ""marca"": ""Scottish Fine Soaps""
    }
  ]
}"
527,"{
  ""features"": [
    {
      ""categoria"": ""Toys"",
      ""material"": ""Plastic"",
      ""Público-alvo"": ""Preschool-Kindergarten Age Girls"",
      ""cor"": ""Brightly colored"",
      ""marca"": ""IQKidz""
    }
  ]
}"
528,"{
  ""features"": [
    {
      ""categoria"": ""eletrônicos"",
      ""material"": ""plástico"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""preto"",
      ""marca"": ""Samsung""
    }
  ]
}"
529,"{
  ""features"": [
    {
      ""categoria"": ""Camisa"",
      ""material"": ""100% Organic Cotton, 55% Linen / 45% Organic Cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Hope & Henry""
    }
  ]
}"
530,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""SpaGuard""
    }
  ]
}"
531,"{
  ""features"": [
    {
      ""categoria"": ""Cooking Apron"",
      ""material"": ""100% Cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""FixGrub""
    }
  ]
}"
532,"{
  ""features"": [
    {
      ""categoria"": ""Rain Jacket"",
      ""material"": ""Waterproof fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Amy Green, Gray, Blue, Black, Lake Blue"",
      ""marca"": ""LOMON""
    }
  ]
}"
533,"{
  ""features"": [
    {
      ""categoria"": ""Pillowcase"",
      ""material"": ""100% Mulberry Silk"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Buff Beige"",
      ""marca"": ""BEIJOEY""
    }
  ]
}"
534,"{
  ""features"": [
    {
      ""categoria"": ""Waist Trimmer"",
      ""material"": ""Neoprene"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Variadas"",
      ""marca"": ""Sports Research""
    }
  ]
}"
535,"{
  ""features"": [
    {
      ""categoria"": ""Gel light filters"",
      ""material"": ""Plastic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Red"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
536,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
537,"{
  ""features"": [
    {
      ""categoria"": ""Jogger Sweatpant"",
      ""material"": ""French Terry Fleece"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Amazon Essentials""
    }
  ]
}"
538,"{
  ""features"": [
    {
      ""categoria"": ""Wild Bird Food"",
      ""material"": ""Sunflower Seed"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Petco Brand""
    }
  ]
}"
539,"{
  ""features"": [
    {
      ""categoria"": ""hair color"",
      ""material"": ""temporary"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Ultra White"",
      ""marca"": ""Roux FanciFull""
    }
  ]
}"
540,"{
  ""features"": [
    {
      ""categoria"": ""Livro"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
541,"{
  ""features"": [
    {
      ""categoria"": ""Rifle Bipod"",
      ""material"": ""Carbon Fiber, Aluminum Alloy 7075, Hardened Steel"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""CVLIFE""
    }
  ]
}"
542,"{
  ""features"": [
    {
      ""categoria"": ""Ratchet Belt"",
      ""material"": ""Nylon"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""FAIRWIN""
    }
  ]
}"
543,"{
  ""features"": [
    {
      ""categoria"": ""Hemorrhoid Treatment Cream"",
      ""material"": ""Natural plant-based ingredients"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Ariella""
    }
  ]
}"
544,"{
  ""features"": [
    {
      ""categoria"": ""Grass Seed"",
      ""material"": ""Kentucky Bluegrass and perennial ryegrasses"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Blue-green blades"",
      ""marca"": ""Blue Ribbon""
    }
  ]
}"
545,"{
  ""features"": [
    {
      ""categoria"": ""Washing Machine Cleaner"",
      ""material"": ""Effervescent Cleaning Tablets"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""White and blue"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
546,"{
  ""features"": [
    {
      ""categoria"": ""Probiótico"",
      ""material"": ""Saccharomyces Boulardii CNCM I-745"",
      ""Público-alvo"": ""Unissex"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Florastor""
    }
  ]
}"
547,"{
  ""features"": [
    {
      ""categoria"": ""Proteína em pó"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Morango"",
      ""marca"": ""NaturesPlus""
    }
  ]
}"
548,"{
  ""features"": [
    {
      ""categoria"": ""Ceiling Fan"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""White"",
      ""marca"": ""Minka-Aire""
    }
  ]
}"
549,"{
  ""features"": [
    {
      ""categoria"": ""License Plate Frame"",
      ""material"": ""High quality and strength plastics"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Matte Black"",
      ""marca"": ""TACTILIAN""
    }
  ]
}"
550,"{
  ""features"": [
    {
      ""categoria"": ""Home decor"",
      ""material"": ""100% Velvet Fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Red Wine"",
      ""marca"": ""BeBen""
    }
  ]
}"
551,"{
  ""features"": [
    {
      ""categoria"": ""Sandal"",
      ""material"": ""PU, synthetic leather"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Checkerboard print"",
      ""marca"": ""Vans""
    }
  ]
}"
552,"{
  ""features"": [
    {
      ""categoria"": ""Cotton Candy Sugar Pack"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Cherry, Grape, Blue Raspberry"",
      ""marca"": ""Cotton Candy Express""
    }
  ]
}"
553,"{
  ""features"": [
    {
      ""categoria"": ""hoodie sem mangas"",
      ""material"": ""Tech stretch fabric"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Amazon Essentials""
    }
  ]
}"
554,"{
  ""features"": [
    {
      ""categoria"": ""Home Fragrance"",
      ""material"": ""Soy"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""YINUO""
    }
  ]
}"
555,"{
  ""features"": [
    {
      ""categoria"": ""Eau De Parfum"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Mulheres"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Bijan""
    }
  ]
}"
556,"{
  ""features"": [
    {
      ""categoria"": ""Fitness Plan"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
557,"{
  ""features"": [
    {
      ""categoria"": ""Stylus Holder"",
      ""material"": ""Elastic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black, White"",
      ""marca"": ""Stylus Sling""
    }
  ]
}"
558,"{
  ""features"": [
    {
      ""categoria"": ""escrita"",
      ""material"": ""metal"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""roxo"",
      ""marca"": ""Fisher Space Pen""
    }
  ]
}"
559,"{
  ""features"": [
    {
      ""categoria"": ""Baseball"",
      ""material"": ""Leather"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Yellow, White"",
      ""marca"": ""Jugs""
    }
  ]
}"
560,"{
  ""features"": [
    {
      ""categoria"": ""Running Shoes"",
      ""material"": ""EVA, Rubber, FlyteFoam"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ASICS""
    }
  ]
}"
561,"{
  ""features"": [
    {
      ""categoria"": ""copo de vinho"",
      ""material"": ""vidro e silicone"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""laranja, azul, verde e roxo"",
      ""marca"": ""Lifefactory""
    }
  ]
}"
562,"{
  ""features"": [
    {
      ""categoria"": ""hair accessories"",
      ""material"": ""thick, durable elastic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""variety of colors"",
      ""marca"": ""L. Erickson""
    }
  ]
}"
563,"{
  ""features"": [
    {
      ""categoria"": ""Pet care"",
      ""material"": ""Heavy-duty aluminum"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ProSelect""
    }
  ]
}"
564,"{
  ""features"": [
    {
      ""categoria"": ""Limpeza"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""MiracleSpray""
    }
  ]
}"
565,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Butler""
    }
  ]
}"
566,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Mary Kay""
    }
  ]
}"
567,"{
  ""features"": [
    {
      ""categoria"": ""papel para aquarela"",
      ""material"": ""algodão"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""branco natural"",
      ""marca"": ""Arches""
    }
  ]
}"
568,"{
  ""features"": [
    {
      ""categoria"": ""Gaming Headset"",
      ""material"": ""Hybrid mesh"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black/Blue"",
      ""marca"": ""Logitech""
    }
  ]
}"
569,"{
  ""features"": [
    {
      ""categoria"": ""Magnetic Field Meter"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""LATNEX""
    }
  ]
}"
570,"{
  ""features"": [
    {
      ""categoria"": ""model kit"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Polar Lights""
    }
  ]
}"
571,"{
  ""features"": [
    {
      ""categoria"": ""Cabelo"",
      ""material"": ""100% Cabelo Humano"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""T1B/99J"",
      ""marca"": ""Kapelli Hair""
    }
  ]
}"
572,"{
  ""features"": [
    {
      ""categoria"": ""Greeting Cards"",
      ""material"": ""Heavyweight white cardstock"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Branco"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
573,"{
  ""features"": [
    {
      ""categoria"": ""Action Figure"",
      ""material"": ""Plástico"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Amarelo"",
      ""marca"": ""Transformers""
    }
  ]
}"
574,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""TapeTech""
    }
  ]
}"
575,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Yassmin's Story""
    }
  ]
}"
576,"{
  ""features"": [
    {
      ""categoria"": ""wall decoration"",
      ""material"": ""not found"",
      ""Público-alvo"": ""not found"",
      ""cor"": ""not found"",
      ""marca"": ""Grand Funk Railroad""
    }
  ]
}"
577,"{
  ""features"": [
    {
      ""categoria"": ""Bachelor Party Sash"",
      ""material"": ""Black Satin"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Alpine Choice""
    }
  ]
}"
578,"{
  ""features"": [
    {
      ""categoria"": ""Necklaces"",
      ""material"": ""14K Gold Plated"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Gold"",
      ""marca"": ""Turandoss""
    }
  ]
}"
579,"{
  ""features"": [
    {
      ""categoria"": ""Candy"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Assorted Colors"",
      ""marca"": ""Narwhal Novelties""
    }
  ]
}"
580,"{
  ""features"": [
    {
      ""categoria"": ""Scope Mount"",
      ""material"": ""Solid 7075 T6 Aircraft Grade Aluminum"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Matte Black"",
      ""marca"": ""EGW""
    }
  ]
}"
581,"{
  ""features"": [
    {
      ""categoria"": ""Video game"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Devil May Cry""
    }
  ]
}"
582,"{
  ""features"": [
    {
      ""categoria"": ""Christmas Ornament"",
      ""material"": ""Non-tarnish nickel plate"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Silver with black text"",
      ""marca"": ""Klikel""
    }
  ]
}"
583,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
584,"{
  ""features"": [
    {
      ""categoria"": ""Decoração"",
      ""material"": ""Ceramic"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
585,"{
  ""features"": [
    {
      ""categoria"": ""Cloth Hangers"",
      ""material"": ""Solid lotus wood"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Mahogany"",
      ""marca"": ""Quality Hangers""
    }
  ]
}"
586,"{
  ""features"": [
    {
      ""categoria"": ""Mochila"",
      ""material"": ""100% Recycled 600d Polyester"",
      ""Público-alvo"": ""Teenagers"",
      ""cor"": ""Mais de 30 cores e estampas disponíveis"",
      ""marca"": ""JanSport""
    }
  ]
}"
587,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Team Color"",
      ""marca"": ""Outerstuff""
    }
  ]
}"
588,"{
  ""features"": [
    {
      ""categoria"": ""Workbook"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""School Zone""
    }
  ]
}"
589,"{
  ""features"": [
    {
      ""categoria"": ""Sun Reader Glasses"",
      ""material"": ""Top-end materials"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Black frame with grey lens, Turquoise frame with grey lens, Tortoise frame with brown lens"",
      ""marca"": ""VITENZI""
    }
  ]
}"
